variety,color
Mantonico,W
Manzoni,W
Marawi,W
Maria Gomes,W
Maria Gomes-Bical,W
Marquette,R
Marsanne,W
Marsanne-Roussanne,W
Marsanne-Viognier,W
Marselan,R
Marzemino,R
Mataro,R
Maturana,R
Mauzac,W
Mavrodaphne,O
Mavrokalavryta,R
Mavrotragano,R
Mavroudi,R
Mavrud,R
Mazuelo,R
Melnik,R
Melon,W
Mencía,R
Meritage,R
Merlot,R
Merlot-Argaman,R
Merlot-Cabernet,R
Merlot-Cabernet Franc,R
Merlot-Cabernet Sauvignon,R
Merlot-Grenache,R
Merlot-Malbec,R
Merlot-Petite Verdot,R
Merlot-Shiraz,R
Merlot-Syrah,R
Merlot-Tannat,R
Merseguera-Sauvignon Blanc,W
Meseguera,W
Misket,W
Mission,O
Molinara,R
Monastrell,R
Monastrell-Petit Verdot,R
Monastrell-Syrah,R
Mondeuse,R
Monica,R
Montepulciano,R
Morava,W
Morillon,W
Morio Muskat,W
Moscadello,W
Moscatel,O
Moscatel de Alejandría,W
Moscatel Graúdo,W
Moscatel Roxo,O
Moscato,W
Moscato di Noto,W
Moscato Giallo,W
Moscato Rosa,O
Moschofilero,W
Moschofilero-Chardonnay,W
Mourvèdre,R
Mourvèdre-Syrah,R
Mtsvane,W
Muscadel,O
Muscadelle,W
Muscadine,W
Muscat,W
Muscat Blanc,W
Muscat Blanc à Petits Grains,W
Muscat Canelli,W
Muscat d'Alexandrie,W
Muscat Hamburg,O
Muscat of Alexandria,W
Muscatel,W
Muskat,W
Muskat Ottonel,W
Muskateller,W
Narince,W
Nascetta,W
Nasco,W
Nebbiolo,R
Negrette,W
Negroamaro,R
Nerello Cappuccio,R
Nerello Mascalese,R
Nero d'Avola,R
Nero di Troia,R
Neuburger,W
Nielluciu,R
Norton,R
Nosiola,W
Nuragus,W
Ojaleshi,R
Okuzgozu,R
Ondenc,W
Orange Muscat,O
Orangetraube,W
Other,W
Otskhanuri Sapere,R
País,R
Pallagrello,R
Pallagrello Bianco,W
Pallagrello Nero,R
Palomino,W
Pansa Blanca,W
Papaskarasi,R
Paralleda,W
Parraleta,R
Passerina,W
Pecorino,W
Pedro Ximénez,W
Perricone,R
Petit Courbu,W
Petit Manseng,W
Petit Meslier,W
Petit Verdot,R
Petite Sirah,R
Petite Verdot,R
Picapoll,W
Picolit,W
Picpoul,W
Piedirosso,R
Pigato,W
Pignoletto,W
Pignolo,R
Pinot Auxerrois,W
Pinot Bianco,W
Pinot Blanc,W
Pinot Blanc-Chardonnay,W
Pinot Blanc-Pinot Noir,O
Pinot Blanc-Viognier,W
Pinot Grigio,W
Pinot Grigio-Sauvignon Blanc,W
Pinot Gris,W
Pinot Gris-Gewürztraminer,W
Pinot Meunier,R
Pinot Nero,O
Pinot Noir,R
Pinot Noir-Gamay,R
Pinot Noir-Syrah,R
Pinot-Chardonnay,W
Pinotage,R
Pinotage-Merlot,R
Piquepoul Blanc,W
Plavac Mali,R
Plyto,W
Port,R
Portuguese Red,R
Portuguese Rosé,O
Portuguese Sparkling,SW
Portuguese White,W
Portuguiser,R
Posip,W
Poulsard,R
Premsal,W
Prié Blanc,W
Prieto Picudo,R
Primitivo,R
Prosecco,W
Provence red blend,R
Provence white blend,W
Prugnolo Gentile,R
Prunelard,R
Pugnitello,R
Rabigato,W
Raboso,R
Ramisco,R
Rara Neagra,R
Rebo,R
Rebula,W
Red Blend,R
Refosco,R
Rhône-style Red Blend,R
Rhône-style White Blend,W
Ribolla Gialla,W
Rieslaner,W
Riesling,W
Riesling-Chardonnay,W
Rivaner,W
Rkatsiteli,W
Robola,W
Roditis,W
Roditis-Moschofilero,W
Rolle,W
Romorantin,W
Rosado,O
Rosato,O
Roscetto,R
Rose,O
Rosenmuskateller,O
Roter Traminer,W
Roter Veltliner,W
Rotgipfler,W
Roussanne,W
Roussanne-Grenache Blanc,W
Roussanne-Marsanne,W
Roussanne-Viognier,W
Roviello,W
Ruché,R
Rufete,R
Ryzlink Rýnský,W
Sämling,R
Sémillon,W
Sacy,W
Sagrantino,R
Sangiovese,R
Sangiovese Cabernet,R
Sangiovese Grosso,R
Sangiovese-Cabernet Sauvignon,R
Sangiovese-Syrah,R
Saperavi,R
Saperavi-Merlot,R
Sauvignon,W
Sauvignon Blanc,W
Sauvignon Blanc-Assyrtiko,W
Sauvignon Blanc-Chardonnay,W
Sauvignon Blanc-Chenin Blanc,W
Sauvignon Blanc-Sauvignon Gris,W
Sauvignon Blanc-Semillon,W
Sauvignon Blanc-Verdejo,W
Sauvignon Gris,W
Sauvignon Musqué,W
Sauvignon-Sémillon,W
Sauvignonasse,W
Savagnin,W
Savatiano,W
Scheurebe,W
Schiava,R
Schwartzriesling,R
Sciaccerellu,W
Semillon-Chardonnay,W
Semillon-Sauvignon Blanc,W
Sercial,W
Seyval Blanc,W
Sherry,W
Shiraz,R
Shiraz-Cabernet,R
Shiraz-Cabernet Sauvignon,R
Shiraz-Grenache,O
Shiraz-Malbec,R
Shiraz-Mourvèdre,R
Shiraz-Roussanne,O
Shiraz-Tempranillo,R
Shiraz-Viognier,O
Sideritis,W
Siegerrebe,W
Silvaner,W
Silvaner-Traminer,W
Siria,W
Sirica,R
Sousão,R
Souzao,R
Spätburgunder,R
Sparkling Blend,SW
St. Laurent,R
St. Vincent,W
Susumaniello,O
Sylvaner,W
Symphony,W
Syrah,R
Syrah-Bonarda,R
Syrah-Cabernet,R
Syrah-Cabernet Franc,R
Syrah-Cabernet Sauvignon,R
Syrah-Carignan,R
Syrah-Grenache,R
Syrah-Grenache-Viognier,R
Syrah-Malbec,R
Syrah-Merlot,R
Syrah-Mourvèdre,R
Syrah-Petit Verdot,O
Syrah-Petite Sirah,O
Syrah-Tempranillo,R
Syrah-Viognier,R
Tamianka,W
Tamjanika,W
Tannat,R
Tannat-Cabernet,R
Tannat-Cabernet Franc,R
Tannat-Merlot,R
Tannat-Syrah,R
Tempranillo,R
Tempranillo Blanco,W
Tempranillo Blend,R
Tempranillo-Cabernet Sauvignon,R
Tempranillo-Garnacha,O
Tempranillo-Malbec,R
Tempranillo-Merlot,R
Tempranillo-Shiraz,O
Tempranillo-Syrah,R
Tempranillo-Tannat,O
Teran,R
Teroldego,R
Teroldego Rotaliano,R
Terrantez,O
Tămâioasă Românească,W
Thrapsathiri,W
Timorasso,W
Tinta Amarela,R
Tinta Barroca,R
Tinta Cao,O
Tinta de Toro,R
Tinta del Pais,R
Tinta del Toro,R
Tinta Fina,R
Tinta Francisca,R
Tinta Madeira,R
Tinta Miúda,W
Tinta Negra Mole,R
Tinta Roriz,R
Tintilia ,R
Tinto del Pais,R
Tinto Fino,R
Tinto Velasco,R
Tocai,W
Tocai Friulano,W
Tokaji,W
Tokay,W
Tokay Pinot Gris,W
Torbato,W
Torontel,W
Torrontés,W
Touriga,R
Touriga Franca,R
Touriga Nacional,R
Touriga Nacional Blend,O
Touriga Nacional-Cabernet Sauvignon,R
Trajadura,W
Traminer,W
Traminette,W
Trebbiano,W
Trebbiano di Lugana,W
Trebbiano Spoletino,W
Treixadura,W
Trepat,R
Trincadeira,R
Trollinger,R
Trousseau,R
Trousseau Gris,W
Tsapournakos,R
Tsolikouri,W
Turbiana,W
Ugni Blanc,W
Ugni Blanc-Colombard,W
Uva di Troia,R
Uvalino,R
Valdiguié,R
Valvin Muscat,W
Veltliner,W
Verdeca,W
Verdejo,W
Verdejo-Sauvignon Blanc,W
Verdejo-Viura,W
Verdelho,W
Verdicchio,W
Verdil,W
Verdosilla,W
Verduzzo,W
Verduzzo Friulano ,W
Vermentino,W
Vermentino Nero,R
Vernaccia,W
Vespaiolo,W
Vespolina,R
Vidadillo,R
Vidal,W
Vidal Blanc,W
Vignoles,R
Vilana,W
Vinhão,R
Viognier,W
Viognier-Chardonnay,W
Viognier-Gewürztraminer,W
Viognier-Grenache Blanc,W
Viognier-Marsanne,W
Viognier-Roussanne,W
Viognier-Valdiguié,W
Viosinho,W
Vital,W
Vitovska,W
Viura,W
Viura-Chardonnay,W
Viura-Verdejo,W
Vranac,R
Vranec,R
Weissburgunder,W
Welschriesling,W
White Blend,W
White Port,W
White Riesling,W
Xarel-lo,W
Xinisteri,W
Xinomavro,R
Xynisteri,W
Yapincak,W
Zelen,W
Zibibbo,W
Zierfandler,W
Zierfandler-Rotgipfler,W
Zinfandel,R
Zlahtina,W
Zweigelt,R
